fips,state,county,pct_laccess_pop10,pct_laccess_pop15,pct_laccess_lowi10,pct_laccess_lowi15,pct_laccess_hhnv10,pct_laccess_hhnv15,pct_laccess_snap15,pct_laccess_child10,pct_laccess_child15,pct_laccess_seniors10,pct_laccess_seniors15,pct_diabetes18,class
18011,IN,Boone,13.42843209,11.91768501,1.197801383,1.280299058,0.9192340889,0.9939444082,0.4246164162,4.488543562,3.816525845,0.9755014743,1.004694834,8.8,1.0
18013,IN,Brown,2.953339054,3.077083204,0.6080154368,1.258273022,1.778611272,2.10208391,0.2775781104,0.6848881811,0.7182658883,0.4042524795,0.408049368,6.9,0.0
18015,IN,Carroll,4.580321025,4.532992154,1.934692017,1.447139617,1.717874665,2.224287133,0.2287279188,1.013285006,1.03140749,0.8924858941,0.8518385177,7.8,0.0
18017,IN,Cass,4.085166986,4.017449251,1.172400924,1.250886192,1.253900408,1.428222709,0.344329161,1.057735267,1.069200687,0.7263837935,0.686645036,10.7,1.0
18019,IN,Clark,21.57398218,21.93505957,6.636885536,6.89819687,1.782310066,2.013122725,1.911104837,4.999354562,5.087695944,2.940719842,2.871269004,9.2,1.0
18021,IN,Clay,3.861156791,3.97718323,1.197447608,1.243160964,1.460868168,1.970683437,0.8004316797,0.8732873275,0.8979632948,0.5523910372,0.5733181674,11.7,1.0
18023,IN,Clinton,4.005711221,1.867995271,1.066404669,0.6297682704,0.9997950949,1.528960869,0.2241408027,0.894300495,0.478442801,0.7232604007,0.3390525104,11.6,1.0
18025,IN,Crawford,11.30679872,14.56921955,4.35045996,4.661388084,4.783401632,4.464433938,2.372388666,2.292024391,3.113477046,2.242922937,2.764600785,9.7,1.0
18027,IN,Daviess,4.543681276,9.602525523,1.146443899,4.559882204,6.802818086,7.579597246,2.02976358,1.091868408,2.711811472,0.7555925175,1.036788017,7.2,0.0
18029,IN,Dearborn,26.38594109,26.38594109,7.072361692,6.819982846,3.475961363,3.749732024,3.395070285,6.511927188,6.511927188,3.562546014,3.562546014,8.1,0.0
18031,IN,Decatur,13.75814979,15.27376404,4.39376014,5.297591746,1.691957614,2.005101107,1.360800041,3.583244593,3.894019934,2.262165974,2.541108884,8.9,1.0
18033,IN,DeKalb,27.79132177,21.45278568,8.499198778,8.525649851,2.318690966,3.132099586,2.671739535,7.378049349,5.888307548,3.997968473,3.019092375,7.9,0.0
18035,IN,Delaware,24.25285118,25.52748542,6.952613959,8.182268059,1.601459393,2.096350606,3.323326699,5.020312442,5.233646636,3.658560605,3.907472504,10.5,1.0
18037,IN,Dubois,5.658663061,5.756478552,1.484316151,1.732196378,0.9860479494,0.9950929555,0.2551112722,1.615187778,1.64722474,0.7394766789,0.6835834906,6.8,0.0
18039,IN,Elkhart,19.72637049,20.40636331,5.787542506,7.368987701,2.60261528,3.001385196,2.691169025,5.63807838,5.765654828,2.133926636,2.264027602,10.0,1.0
18041,IN,Fayette,21.42867736,21.42867736,9.148424604,8.32010585,3.940264565,3.241076526,5.326427541,5.142022257,5.142022257,4.049645095,4.049645095,10.3,1.0
18043,IN,Floyd,23.9293305,29.45992608,4.156957899,7.501761256,0.9896279474,1.997792508,2.478186493,5.923348267,7.30025355,3.101924958,3.574199255,9.4,1.0
18045,IN,Fountain,3.730154283,18.70315825,1.040882349,6.416646779,2.012640192,2.521696638,1.878691832,0.82800585,4.420978084,0.5900751437,3.688195713,8.6,0.0
18047,IN,Franklin,9.07307697,9.07307697,4.268589829,4.509807949,2.345905298,2.167675699,1.361900248,2.560686943,2.560686943,0.9960519665,0.9960519665,8.7,0.0
18049,IN,Fulton,15.51058695,12.9052196,6.458235856,5.817869731,3.540912352,2.984796239,1.790611421,3.552394046,3.058088837,3.068987688,2.474900428,7.7,0.0
18051,IN,Gibson,10.3310404,3.860621686,3.737921087,1.278479234,2.305445468,1.503766887,0.3918764238,2.527630433,0.8491471259,1.546674786,0.7013703652,7.4,0.0
18053,IN,Grant,20.5427608,17.95437762,7.889665522,7.914122837,1.633983111,3.356438695,3.111477583,4.394308702,3.828329009,2.968792834,2.475672111,12.8,1.0
18055,IN,Greene,8.178253842,11.94169699,3.164217237,5.950685226,1.3115632,2.087858568,1.630056327,1.970437842,2.891724723,0.9667226003,1.503187901,11.2,1.0
